negatives
"frozenset({'Q13155', 'AndrogenReceptor', 'P46940'})"
"frozenset({'Q15717', 'AndrogenReceptor', 'O96017'})"
"frozenset({'AndrogenReceptor', 'P49639', 'O75558'})"
"frozenset({'Q8NFU7', 'AndrogenReceptor', 'O95983'})"
"frozenset({'AndrogenReceptor', 'P03372', 'P62269'})"
"frozenset({'AndrogenReceptor', 'Q13618', 'P22626'})"
"frozenset({'Q00839', 'AndrogenReceptor', 'Q02543'})"
"frozenset({'Q8IVF2', 'AndrogenReceptor', 'P41227'})"
"frozenset({'Q9NX46', 'AndrogenReceptor', 'P12268'})"
"frozenset({'Q93009', 'P28074', 'AndrogenReceptor'})"
"frozenset({'P13236', 'P51681', 'AndrogenReceptor'})"
"frozenset({'O00560', 'AndrogenReceptor', 'P49459'})"
"frozenset({'AndrogenReceptor', 'P01857', 'Q2KHR2'})"
"frozenset({'AndrogenReceptor', 'Q15125', 'Q8IVT5'})"
"frozenset({'P48146', 'AndrogenReceptor', 'Q8N9W6'})"
"frozenset({'Q6A162', 'Q9H788', 'AndrogenReceptor'})"
"frozenset({'Q96NX5', 'AndrogenReceptor', 'P16220'})"
"frozenset({'Q9UKT4', 'AndrogenReceptor', 'Q9UJX4'})"
"frozenset({'Q99618', 'O95817', 'AndrogenReceptor'})"
"frozenset({'P08238', 'Q9NR20', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P08708', 'P23396'})"
"frozenset({'P61244', 'AndrogenReceptor', 'Q9HAU0'})"
"frozenset({'AndrogenReceptor', 'P0C0S5', 'Q9Y230'})"
"frozenset({'Q92871', 'Q96PM5', 'AndrogenReceptor'})"
"frozenset({'Q16629', 'P41223', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P07949', 'Q38SD2'})"
"frozenset({'Q14790', 'Q13296', 'AndrogenReceptor'})"
"frozenset({'P42785', 'P68371', 'AndrogenReceptor'})"
"frozenset({'Q16665', 'AndrogenReceptor', 'Q14192'})"
"frozenset({'Q96FV3', 'P36894', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P46108', 'P01889'})"
"frozenset({'AndrogenReceptor', 'P05091', 'Q02156'})"
"frozenset({'AndrogenReceptor', 'P35606', 'Q9NSK0'})"
"frozenset({'AndrogenReceptor', 'Q92624', 'P22694'})"
"frozenset({'P62136', 'P19438', 'AndrogenReceptor'})"
"frozenset({'O15294', 'AndrogenReceptor', 'Q9UH92'})"
"frozenset({'P01871', 'AndrogenReceptor', 'Q99856'})"
"frozenset({'Q01860', 'AndrogenReceptor', 'Q8N5A5'})"
"frozenset({'AndrogenReceptor', 'Q9NQC3', 'Q9H8W4'})"
"frozenset({'P11487', 'AndrogenReceptor', 'Q99848'})"
"frozenset({'AndrogenReceptor', 'Q8N7M0', 'P50222'})"
"frozenset({'P37288', 'AndrogenReceptor', 'Q03113'})"
"frozenset({'AndrogenReceptor', 'P06753', 'P24539'})"
"frozenset({'P40305', 'AndrogenReceptor', 'P52630'})"
"frozenset({'Q01094', 'Q15759', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P16333', 'Q9Y2H0'})"
"frozenset({'Q8N122', 'AndrogenReceptor', 'P31947'})"
"frozenset({'Q709F0', 'Q8WTR2', 'AndrogenReceptor'})"
"frozenset({'Q96T88', 'AndrogenReceptor', 'Q9Y297'})"
"frozenset({'Q8WW24', 'Q6UWZ7', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P49247', 'P51116'})"
"frozenset({'P32121', 'AndrogenReceptor', 'Q5JUX0'})"
"frozenset({'P98175', 'AndrogenReceptor', 'Q92917'})"
"frozenset({'AndrogenReceptor', 'P14373', 'Q8N5A5'})"
"frozenset({'Q9HCE1', 'AndrogenReceptor', 'Q499Z4'})"
"frozenset({'Q5C9Z4', 'P39023', 'AndrogenReceptor'})"
"frozenset({'P28347', 'AndrogenReceptor', 'P12755'})"
"frozenset({'Q9H9D4', 'AndrogenReceptor', 'A8MQ03'})"
