#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
Q13490	Q9NP84	1	TWEAK	26	physical	BIRC2	TNFRSF12A
Q13490	Q12933	1	TWEAK	26	physical	BIRC2	TRAF2
Q14790	Q13158	1	TWEAK	26	physical	CASP8	FADD
Q14790	Q13546	1	TWEAK	26	physical	CASP8	RIPK1
Q86VB7	O43508	1	TWEAK	26	physical	CD163	TNFSF12
Q13158	Q14790	1	TWEAK	26	physical	FADD	CASP8
Q13158	Q13546	1	TWEAK	26	physical	FADD	RIPK1
Q13547	Q04206	1	TWEAK	26	physical	HDAC1	RELA
Q00653	Q01201	1	TWEAK	26	physical	NFKB2	RELB
P63000	Q9NP84	1	TWEAK	26	physical	RAC1	TNFRSF12A
Q04206	Q13547	1	TWEAK	26	physical	RELA	HDAC1
Q01201	Q00653	1	TWEAK	26	physical	RELB	NFKB2
Q13546	Q14790	1	TWEAK	26	physical	RIPK1	CASP8
Q13546	Q13158	1	TWEAK	26	physical	RIPK1	FADD
Q9NP84	Q13490	1	TWEAK	26	physical	TNFRSF12A	BIRC2
Q9NP84	P63000	1	TWEAK	26	physical	TNFRSF12A	RAC1
Q9NP84	O43508	1	TWEAK	26	physical	TNFRSF12A	TNFSF12
Q9NP84	Q13077	1	TWEAK	26	physical	TNFRSF12A	TRAF1
Q9NP84	Q12933	1	TWEAK	26	physical	TNFRSF12A	TRAF2
Q9NP84	Q13114	1	TWEAK	26	physical	TNFRSF12A	TRAF3
Q9NP84	O00463	1	TWEAK	26	physical	TNFRSF12A	TRAF5
Q93038	O43508	1	TWEAK	26	physical	TNFRSF25	TNFSF12
O43508	Q86VB7	1	TWEAK	26	physical	TNFSF12	CD163
O43508	Q9NP84	1	TWEAK	26	physical	TNFSF12	TNFRSF12A
O43508	Q93038	1	TWEAK	26	physical	TNFSF12	TNFRSF25
Q13077	Q9NP84	1	TWEAK	26	physical	TRAF1	TNFRSF12A
Q12933	Q13490	1	TWEAK	26	physical	TRAF2	BIRC2
Q12933	Q9NP84	1	TWEAK	26	physical	TRAF2	TNFRSF12A
Q13114	Q9NP84	1	TWEAK	26	physical	TRAF3	TNFRSF12A
O00463	Q9NP84	1	TWEAK	26	physical	TRAF5	TNFRSF12A
--	P16885	1	KitReceptor	6	Phosphorylation	--	PLCG2
P00519	Q99704	1	KitReceptor	6	physical	ABL1	DOK1
P61160	P42768	1	KitReceptor	6	physical	ACTR2	WAS
P61160	O43516	1	KitReceptor	6	physical	ACTR2	WIPF1
P31749	Q92934	1	KitReceptor	6	physical	AKT1	BAD
P31749	Q92934	1	KitReceptor	6	Phosphorylation	AKT1	BAD
P31749	O43524	1	KitReceptor	6	Phosphorylation	AKT1	FOXO3
P31749	Q13322	1	KitReceptor	6	physical	AKT1	GRB10
P31749	P49840	1	KitReceptor	6	Phosphorylation	AKT1	GSK3A
Q92934	P31749	1	KitReceptor	6	physical	BAD	AKT1
Q06187	P10721	1	KitReceptor	6	physical	BTK	KIT
Q06187	O00220	1	KitReceptor	6	physical	BTK	TNFRSF10A
P22681	Q13191	1	KitReceptor	6	physical	CBL	CBLB
P22681	P46109	1	KitReceptor	6	physical	CBL	CRKL
P22681	P62993	1	KitReceptor	6	physical	CBL	GRB2
P22681	P10721	1	KitReceptor	6	physical	CBL	KIT
P22681	P27986	1	KitReceptor	6	physical	CBL	PIK3R1
P22681	O00459	1	KitReceptor	6	physical	CBL	PIK3R2
P22681	P29353	1	KitReceptor	6	physical	CBL	SHC1
Q13191	P22681	1	KitReceptor	6	physical	CBLB	CBL
Q13191	P10721	1	KitReceptor	6	physical	CBLB	KIT
Q13191	Q96B97	1	KitReceptor	6	physical	CBLB	SH3KBP1
Q00610	P10721	1	KitReceptor	6	physical	CLTC	KIT
P46108	P10721	1	KitReceptor	6	physical	CRK	KIT
P46108	P27986	1	KitReceptor	6	physical	CRK	PIK3R1
P46109	P22681	1	KitReceptor	6	physical	CRKL	CBL
